,CAGR,Volatility,Sharpe,Sortino,Max Drawdown,Calmar,Hit Rate,Time in Market,Avg Turnover,Avg Gross Exposure,Max Gross Exposure,Avg Active Legs
Copula,0.005650074048468845,0.05420851991522637,0.10422852454382955,0.07751817505655025,-0.16177446571863652,0.034925623295184546,0.14747105423522242,0.2995124923826935,0.008605561359217665,0.2771121702794463,1.0,5.556701030927835
Z-score baseline,-0.019087496586279284,0.0693436491159009,-0.2752594769619993,-0.1979214429766634,-0.3894793584906008,-0.049007723182690616,0.1550506601166718,0.32453177770954866,0.011528831673903827,0.30994171284315586,1.0,4.3798076923076925
